Department,ManagementSalary
1,0.0
1,nan
21,nan
21,1.0
21,1.0
25,nan
25,1.0
14,0.0
14,nan
14,0.0
9,0.0
14,0.0
14,1.0
26,1.0
4,nan
17,0.0
34,0.0
1,0.0
1,nan
14,0.0
9,0.0
9,1.0
9,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,nan
11,1.0
11,1.0
11,nan
11,nan
11,0.0
11,0.0
11,nan
11,1.0
11,1.0
11,nan
11,0.0
11,0.0
11,nan
5,0.0
34,0.0
14,0.0
14,1.0
17,nan
17,0.0
10,1.0
10,0.0
36,0.0
37,0.0
5,0.0
7,0.0
4,0.0
22,nan
22,nan
21,0.0
21,1.0
21,1.0
21,0.0
7,nan
7,0.0
36,nan
21,1.0
25,1.0
4,nan
8,0.0
15,0.0
15,0.0
15,0.0
37,0.0
37,0.0
9,0.0
1,0.0
1,0.0
10,0.0
10,0.0
3,nan
3,0.0
3,nan
29,0.0
15,1.0
36,1.0
36,1.0
37,1.0
1,0.0
36,1.0
34,1.0
20,0.0
20,0.0
8,0.0
15,0.0
9,0.0
4,0.0
5,0.0
4,0.0
20,1.0
16,nan
16,0.0
16,0.0
16,0.0
16,nan
38,0.0
7,nan
7,0.0
34,1.0
38,1.0
36,1.0
8,nan
27,0.0
8,0.0
8,0.0
8,0.0
10,nan
10,1.0
13,1.0
13,0.0
6,0.0
26,0.0
10,0.0
1,0.0
36,1.0
0,nan
13,0.0
16,0.0
16,0.0
22,0.0
6,0.0
5,1.0
4,1.0
0,0.0
28,1.0
28,1.0
4,1.0
2,0.0
13,1.0
13,1.0
21,1.0
21,1.0
17,0.0
17,0.0
14,nan
36,nan
8,0.0
40,nan
35,nan
15,0.0
23,1.0
0,0.0
0,0.0
7,nan
10,1.0
37,0.0
27,1.0
35,nan
35,0.0
0,0.0
0,0.0
19,nan
19,0.0
36,1.0
14,0.0
37,0.0
24,0.0
17,0.0
13,1.0
36,1.0
4,0.0
4,0.0
13,0.0
13,1.0
10,1.0
4,0.0
38,0.0
32,0.0
32,nan
4,0.0
1,0.0
0,0.0
0,0.0
0,0.0
7,nan
7,0.0
4,1.0
15,0.0
16,0.0
40,0.0
15,1.0
15,0.0
15,1.0
15,0.0
0,1.0
21,0.0
21,nan
21,0.0
21,0.0
5,nan
4,1.0
4,1.0
4,0.0
4,nan
4,1.0
4,nan
4,0.0
5,nan
5,0.0
4,0.0
4,0.0
22,0.0
19,1.0
19,1.0
22,1.0
34,0.0
14,0.0
0,nan
1,nan
17,0.0
37,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
10,0.0
23,nan
0,nan
4,1.0
19,0.0
19,0.0
19,0.0
19,nan
19,0.0
19,0.0
19,nan
19,nan
19,0.0
19,0.0
19,0.0
19,0.0
10,0.0
14,0.0
14,nan
1,0.0
14,nan
7,0.0
13,nan
20,nan
31,nan
40,0.0
6,nan
4,0.0
0,0.0
8,0.0
9,0.0
9,0.0
10,nan
0,nan
10,0.0
14,nan
14,0.0
14,nan
14,nan
39,0.0
17,1.0
4,nan
28,nan
17,nan
17,0.0
17,0.0
